Date,Time,User/System,Temperature ( C ),Max (Scale),Min (Scale),File
14/08/2019,12:44,System,58,60,15,Thermal.csv
14/08/2019,12:47,System,57,65,15,Thermal.csv
14/08/2019,12:47,System,52,80,15,Thermal.csv
14/08/2019,12:49,System,70,80,20,Thermal.csv
21/08/2019,11:50,User,37,60,15,Thermal.csv
